id,secondary_profession,main_group,try_these,avoid_these,text
T1-Technology & IT-Software Developer,Software Developer,Technology & IT,True,False,Spill the beans—what's your wildest coding hack?
T2-Technology & IT-Software Developer,Software Developer,Technology & IT,True,False,Favorite IDE: Vim or VS Code? Brews on the line!
T3-Technology & IT-Software Developer,Software Developer,Technology & IT,True,False,Ever debugged code over a latte? Tell me more!
T4-Technology & IT-Software Developer,Software Developer,Technology & IT,True,False,What's the quirkiest bug you've squashed lately?
T5-Technology & IT-Software Developer,Software Developer,Technology & IT,True,False,Python or JavaScript—pick your potion!
A1-Technology & IT-Software Developer,Software Developer,Technology & IT,False,True,Why don't you just work in an office?
A2-Technology & IT-Software Developer,Software Developer,Technology & IT,False,True,Coding's so boring—how do you stand it?
A3-Technology & IT-Software Developer,Software Developer,Technology & IT,False,True,Did you break the internet again?
A4-Technology & IT-Software Developer,Software Developer,Technology & IT,False,True,Why not switch to a 'real' job?
A5-Technology & IT-Software Developer,Software Developer,Technology & IT,False,True,"Your code's a mess, huh?"
T1-Technology & IT-Web Developer,Web Developer,Technology & IT,True,False,Best CSS trick you've pulled off lately?
T2-Technology & IT-Web Developer,Web Developer,Technology & IT,True,False,Ever built a site over a cold brew? Spill it!
T3-Technology & IT-Web Developer,Web Developer,Technology & IT,True,False,What's your go-to browser for testing vibes?
T4-Technology & IT-Web Developer,Web Developer,Technology & IT,True,False,Responsive design wins—brag a bit!
T5-Technology & IT-Web Developer,Web Developer,Technology & IT,True,False,HTML or React—which brews your buzz?
A1-Technology & IT-Web Developer,Web Developer,Technology & IT,False,True,Why do websites always crash?
A2-Technology & IT-Web Developer,Web Developer,Technology & IT,False,True,"You just copy templates, right?"
A3-Technology & IT-Web Developer,Web Developer,Technology & IT,False,True,Who needs web devs with AI now?
A4-Technology & IT-Web Developer,Web Developer,Technology & IT,False,True,Your site looks dated already.
A5-Technology & IT-Web Developer,Web Developer,Technology & IT,False,True,Can't you make it load faster?
T1-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,True,False,Best mobile app developer hack you've brewed up?
T2-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,True,False,Ever worked on this over a latte?
T3-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,True,False,What's your fave tool for the gig?
T4-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,True,False,Wildest win in your field—spill it!
T5-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,True,False,Which vibe fuels your mobile app developer?
A1-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,False,True,Why's your mobile app developer so slow?
A2-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,False,True,Isn't that just a hobby job?
A3-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,False,True,"You're replaceable by AI, right?"
A4-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,False,True,Why bother with mobile app developer?
A5-Technology & IT-Mobile App Developer,Mobile App Developer,Technology & IT,False,True,"That last gig flopped, huh?"
T1-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,True,False,Best devops engineer hack you've brewed up?
T2-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,True,False,Ever worked on this over a latte?
T3-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,True,False,What's your fave tool for the gig?
T4-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,True,False,Wildest win in your field—spill it!
T5-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,True,False,Which vibe fuels your devops engineer?
A1-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,False,True,Why's your devops engineer so slow?
A2-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,False,True,Isn't that just a hobby job?
A3-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,False,True,"You're replaceable by AI, right?"
A4-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,False,True,Why bother with devops engineer?
A5-Technology & IT-DevOps Engineer,DevOps Engineer,Technology & IT,False,True,"That last gig flopped, huh?"
T1-Technology & IT-Systems Administrator,Systems Administrator,Technology & IT,True,False,Best systems administrator hack you've brewed up?
