id,secondary_profession,try_these,avoid_these,text
T1-Software Developer,Software Developer,True,False,Spill the beans - what's your wildest Python hack?
T2-Software Developer,Software Developer,True,False,Ever debugged a Java mess over a latte?
T3-Software Developer,Software Developer,True,False,Favorite IDE: VS Code or Vim? Brews on me!
T4-Software Developer,Software Developer,True,False,What's the quirkiest Git commit you've pushed?
T5-Software Developer,Software Developer,True,False,Rust or C++ - which byte brews your vibe?
A1-Software Developer,Software Developer,False,True,Why's your code always crashing?
A2-Software Developer,Software Developer,False,True,"You still use outdated languages, huh?"
A3-Software Developer,Software Developer,False,True,Can't you just Google that bug?
A4-Software Developer,Software Developer,False,True,"Your commits are a mess, right?"
A5-Software Developer,Software Developer,False,True,Coding's so dull - why bother?
T1-Web Developer,Web Developer,True,False,Best CSS flexbox trick you've brewed up?
T2-Web Developer,Web Developer,True,False,Ever coded a React site over cold brew?
T3-Web Developer,Web Developer,True,False,Chrome or Firefox - which browser's your jam?
T4-Web Developer,Web Developer,True,False,What's your slickest JavaScript hack?
T5-Web Developer,Web Developer,True,False,Tailwind or Bootstrap - pick your web potion!
A1-Web Developer,Web Developer,False,True,Why do your sites load so slow?
A2-Web Developer,Web Developer,False,True,"You just steal HTML templates, huh?"
A3-Web Developer,Web Developer,False,True,Web dev's dead with AI - agree?
A4-Web Developer,Web Developer,False,True,That CSS is a nightmare - fix it!
A5-Web Developer,Web Developer,False,True,Your pages look ancient already.
T1-Mobile App Developer,Mobile App Developer,True,False,Craziest Swift feature you've coded?
T2-Mobile App Developer,Mobile App Developer,True,False,Ever built an Android app over espresso?
T3-Mobile App Developer,Mobile App Developer,True,False,Flutter or Kotlin - which byte's your brew?
T4-Mobile App Developer,Mobile App Developer,True,False,What's your smoothest app store win?
T5-Mobile App Developer,Mobile App Developer,True,False,Best UI tweak - spill the mobile tea!
A1-Mobile App Developer,Mobile App Developer,False,True,Why's your app full of bugs?
A2-Mobile App Developer,Mobile App Developer,False,True,"iOS devs are snobs, right?"
A3-Mobile App Developer,Mobile App Developer,False,True,That last update broke everything!
A4-Mobile App Developer,Mobile App Developer,False,True,"Mobile apps are pointless now, huh?"
A5-Mobile App Developer,Mobile App Developer,False,True,"You just copy other apps, don't you?"
