id,name,description
1,"Tech Workers","Software engineers, developers, and IT professionals"
2,"Creative Professionals","Designers, writers, artists, and other creative roles"
3,"Entrepreneurs","Startup founders, business owners, and entrepreneurs"
4,"Remote Workers","Professionals working remotely for companies"
5,"Students","College and university students"
6,"Freelancers","Independent contractors and freelancers"
7,"Digital Nomads","Traveling professionals working remotely"
8,"Startup Founders","Founders of early-stage companies"
9,"Content Creators","Bloggers, YouTubers, podcasters, and social media creators"
10,"Artists","Painters, musicians, sculptors, and performing artists"
